"createdAt","domain","shortCode","shortUrl","longUrl","title","tags","visits"
"2025-07-27T08:36:18+00:00","xpri.dev","ai-agents-cost","http://xpri.dev/ai-agents-cost","https://docs.google.com/presentation/d/e/2PACX-1vS4KMBGNjlC9yVjtn0iISErhoiiOLXuCPVTP3VxsiPuNpyKvr9eVurNI66qpP1rB2KrHTR_5GyEzePi/pub?start=false&loop=false&delayms=60000","Agents Agents Everywhere How Much Do They Cost - Prezentări Google","",145
"2025-07-18T12:50:12+00:00","xpri.dev","ccd","http://xpri.dev/ccd","https://ccd2025kol-backend-314976190757.europe-west3.run.app/checkin","","",65
"2025-06-30T03:58:53+00:00","xpri.dev","ai-sprint-tweet","http://xpri.dev/ai-sprint-tweet","https://x.com/xprilion/status/1939927507840663664","xprilion/google-adk-anygent: Self Learning Agent using Google's Agent Development Kit","",4
"2025-06-28T06:03:51+00:00","xpri.dev","adk-cloud-run","http://xpri.dev/adk-cloud-run","https://docs.google.com/presentation/d/e/2PACX-1vTuUjOCEDVOdUbFARguVRmao69P_A64vVq8hpJhTYd7a9XSg0CgllGVb-OsxvPTXWzkIkXSHgE15ZNP/pub?start=false&loop=false&delayms=60000","Run AI Agents Faster on Google Cloud Run - Prezentări Google","",77
"2025-06-18T10:38:18+00:00","xpri.dev","wb-logos","http://xpri.dev/wb-logos","https://drive.google.com/drive/folders/1HMaOrqxFARTpYqoZE2gPcaoUuXVx4P6H","Co-Branding - Google Drive","",1
"2025-06-07T05:35:52+00:00","xpri.dev","ys-fb-studio","http://xpri.dev/ys-fb-studio","https://docs.google.com/presentation/d/e/2PACX-1vSYbisAbQeFdxMG8_G-yyzdfF0lJY6XvAM9zosC7ODpHsi5_-jHdK6PSU0OlsYFVQ5w-AknQyDDCzQh/pub?start=false&loop=false&delayms=60000","Full Stack AI with Firebase Studio - Prezentări Google","",185
"2025-05-31T05:38:03+00:00","xpri.dev","weave-101-blr","http://xpri.dev/weave-101-blr","https://github.com/xprilion/weave-101","GitHub - xprilion/weave-101: A quick introduction to tracing gen ai with W&B Weave","",29
"2025-05-04T06:14:35+00:00","xpri.dev","bwai-daytona-pune","http://xpri.dev/bwai-daytona-pune","https://docs.google.com/presentation/d/e/2PACX-1vQt697d8fswK3zPBZw6wRKoHSBRZioO3fb99pghepUbUxhimvP-U13pVdRCT1Vt18BZBpHYFNI-lLfH/pub?start=false&loop=false&delayms=60000","Building Solutions Using Gemini and Firebase Vertex AI at Daytona Pune - Prezentări Google","",32
"2025-05-04T06:12:56+00:00","xpri.dev","codelab-react-gemini","http://xpri.dev/codelab-react-gemini","https://xprilion.com/codelabs/quick-gemini-in-react-apps-using-firebase-vertex-ai","Quick Gemini in React apps using Firebase Vertex AI","",42
"2025-04-27T05:14:39+00:00","xpri.dev","bwai-nashik","http://xpri.dev/bwai-nashik","https://gist.github.com/xprilion/16aca30889bc4a4ddcdd35b9d5c00cde","gdg-nashik-bwai.md · GitHub","",18
"2025-04-20T10:59:45+00:00","xpri.dev","rag-demo","http://xpri.dev/rag-demo","https://gemini-rag-evals-visualizer-app-869337967308.us-central1.run.app/","RAG Evaluation Demo","",27
"2025-04-13T05:20:33+00:00","xpri.dev","qr","http://xpri.dev/qr","https://qrborg.xprilion.workers.dev","QRBorg","",4
"2025-04-07T18:36:36+00:00","xpri.dev","scholar","http://xpri.dev/scholar","https://scholar.google.com/citations?user=4tXXxTkAAAAJ&hl=en","‪Anubhav Singh‬ - ‪Google Scholar‬","",1
"2025-04-05T10:05:07+00:00","xpri.dev","rag-evals-react","http://xpri.dev/rag-evals-react","https://docs.google.com/presentation/d/e/2PACX-1vQ0I1UDPfXaG-n1HSt3L-bj3a9mc_OyeKNpaL8kov27h52ajGfBQbxOrBjnCvLXdDHk8Z7q8cZ_7Ra9/pub?start=false&loop=false&delayms=60000","Gemini as a Judge for RAG Evaluation - React Dev Edition - Prezentări Google","",104
"2025-03-26T06:29:08+00:00","xpri.dev","workshop","http://xpri.dev/workshop","https://gist.github.com/xprilion/dc3c26d702ba46fd65e0539b0991392a","GeminiWorkshopLinks · GitHub","",141
"2025-03-21T04:09:29+00:00","xpri.dev","bwai-gemini-vertexai","http://xpri.dev/bwai-gemini-vertexai","https://docs.google.com/presentation/d/e/2PACX-1vSLDiohAlJco32G__p7FxdizEbguUgeFvdM9ZyyBh9i28lLodXlhGsO-M6pg7EwDY7aDLGQKb4hvE5h/pub?start=false&loop=false&delayms=60000","Building Solutions Using Gemini and Vertex AI - Prezentări Google","",122
"2025-03-01T08:06:34+00:00","xpri.dev","gemini-rag-evals","http://xpri.dev/gemini-rag-evals","https://docs.google.com/presentation/d/e/2PACX-1vQw7Y727ekIyPHEiIOHbsgoJF0ok-m59u3G4I5xJPvahw-g6N1ZYO-rIfAWAXr4dUW2WLRUxAbZw2ZI/pub?start=false&loop=false&delayms=60000","Gemini as a Juge for RAG Evaluation","",218
"2025-02-25T15:30:40+00:00","xpri.dev","ct","http://xpri.dev/ct","https://cloudtop.dev","cloudtop","",1
